timestamp,pattern,signal,confidence,clarity,historical,regime,outcome
1735704000000,BD-BD-U,LONG,0.720,0.600,1.000,0.600,
1735704000000,BD-BU-DN,SHORT,0.691,0.600,0.905,0.600,
1735704000000,BD-BD-U,LONG,0.720,0.600,1.000,0.600,
1735704000000,BD-BD-U,LONG,0.720,0.600,1.000,0.600,
1735704000000,CUSTOM-PAT-LONG,LONG,0.420,0.600,0.000,0.600,
1735704000000,BD-BD-U,LONG,0.720,0.600,1.000,0.600,
1735704000000,BD-BU-DN,SHORT,0.691,0.600,0.905,0.600,
1735704000000,BD-BD-U,LONG,0.720,0.600,1.000,0.600,
1735704000000,BD-BD-U,LONG,0.720,0.600,1.000,0.600,
1735704000000,CUSTOM-PAT-LONG,LONG,0.420,0.600,0.000,0.600,
1735704000000,BD-BD-U,LONG,0.720,0.600,1.000,0.600,
1735704000000,BD-BU-DN,SHORT,0.691,0.600,0.905,0.600,
1735704000000,BD-BD-U,LONG,0.720,0.600,1.000,0.600,
1735704000000,BD-BD-U,LONG,0.720,0.600,1.000,0.600,
1735704000000,CUSTOM-PAT-LONG,LONG,0.420,0.600,0.000,0.600,
